	0	1	2	3
0	time	used by	billie	24
1	time	used by	olivia	25
2	time	used by	sabrina	86
3	time	used by	taylor	51
4	love	used by	billie	44
5	love	used by	olivia	59
6	love	used by	sabrina	56
7	love	used by	taylor	99
8	thing	used by	billie	57
9	thing	used by	olivia	64
10	thing	used by	sabrina	64
11	thing	used by	taylor	64
12	friend	used by	billie	28
13	friend	used by	olivia	28
14	friend	used by	sabrina	14
15	friend	used by	taylor	37
16	baby	used by	billie	3
17	baby	used by	olivia	9
18	baby	used by	sabrina	48
19	baby	used by	taylor	21
20	way	used by	billie	45
21	way	used by	olivia	51
22	way	used by	sabrina	33
23	way	used by	taylor	69
24	night	used by	billie	7
25	night	used by	olivia	22
26	night	used by	sabrina	31
27	night	used by	taylor	53
28	man	used by	billie	16
29	man	used by	olivia	3
30	man	used by	sabrina	25
31	man	used by	taylor	44
32	eye	used by	billie	22
33	eye	used by	olivia	8
34	eye	used by	sabrina	11
35	eye	used by	taylor	24
36	bed	used by	billie	0
37	bed	used by	olivia	26
38	bed	used by	sabrina	24
39	bed	used by	taylor	8
40	boy	used by	billie	15
41	boy	used by	olivia	7
42	boy	used by	sabrina	11
43	boy	used by	taylor	26
44	da	used by	billie	76
45	da	used by	olivia	45
46	da	used by	sabrina	21
47	da	used by	taylor	102
48	mind	used by	billie	14
49	mind	used by	olivia	6
50	mind	used by	sabrina	29
51	mind	used by	taylor	16
52	heart	used by	billie	14
53	heart	used by	olivia	15
54	heart	used by	sabrina	11
55	heart	used by	taylor	19
56	one	used by	billie	81
57	one	used by	olivia	69
58	one	used by	sabrina	81
59	one	used by	taylor	133
60	girl	used by	billie	8
61	girl	used by	olivia	24
62	girl	used by	sabrina	0
63	girl	used by	taylor	11
64	head	used by	billie	17
65	head	used by	olivia	14
66	head	used by	sabrina	7
67	head	used by	taylor	21
68	day	used by	billie	22
69	day	used by	olivia	15
70	day	used by	sabrina	8
71	day	used by	taylor	46
72	guy	used by	billie	16
73	guy	used by	olivia	10
74	guy	used by	sabrina	2
75	guy	used by	taylor	9
76	daylight	used by	billie	0
77	daylight	used by	olivia	0
78	daylight	used by	sabrina	1
79	daylight	used by	taylor	14
80	nothing	used by	billie	20
81	nothing	used by	olivia	6
82	nothing	used by	sabrina	22
83	nothing	used by	taylor	7
84	life	used by	billie	2
85	life	used by	olivia	16
86	life	used by	sabrina	5
87	life	used by	taylor	15
88	diamond	used by	billie	2
89	diamond	used by	olivia	1
90	diamond	used by	sabrina	27
91	diamond	used by	taylor	1
92	hand	used by	billie	3
93	hand	used by	olivia	2
94	hand	used by	sabrina	11
95	hand	used by	taylor	31
96	people	used by	billie	5
97	people	used by	olivia	13
98	people	used by	sabrina	0
99	people	used by	taylor	7
100	name	used by	billie	8
101	name	used by	olivia	4
102	name	used by	sabrina	4
103	name	used by	taylor	13
104	comin	used by	billie	6
105	comin	used by	olivia	2
106	comin	used by	sabrina	3
107	comin	used by	taylor	28
108	light	used by	billie	0
109	light	used by	olivia	6
110	light	used by	sabrina	10
111	light	used by	taylor	32
112	car	used by	billie	35
113	car	used by	olivia	31
114	car	used by	sabrina	11
115	car	used by	taylor	26
